age,income,AUM,num_transactions,engagement_score,Risk_Label
63,156521,750895,7,0.3183023649711255,1
76,144616,591751,7,0.2389428039827107,1
53,112448,600429,8,0.05873004481018683,0
39,154008,437484,20,0.13855107229603947,0
67,88131,803868,2,0.449941729782111,1
32,84051,730568,6,0.09301779060129724,0
45,145907,766727,5,0.2867249056549308,0
63,137389,633849,17,0.01172213977880651,1
43,106192,535021,18,0.04778119786864077,0
47,85936,586687,11,0.5990940853348218,0
35,163791,686693,7,0.3532870686005979,0
35,68396,198884,4,0.48239415258731494,0
48,102047,774586,11,0.3860373582478612,0
77,126857,1085238,12,0.06245565220807242,1
60,174064,696067,12,0.3091763060047522,1
64,131493,543814,13,0.14329004233912876,1
48,134409,567752,9,0.3639887168811445,0
27,102918,741508,6,0.3258128892711128,0
46,137054,548342,8,0.41027879432280867,0
77,123159,773735,7,0.19860819060869878,1
26,72346,565171,11,0.280834357474647,0
48,143788,942836,9,0.3660759360231316,0
68,149111,937319,17,0.32902697041680706,1
54,144100,533966,4,0.25685354940066696,0
62,120999,583795,9,0.6793579388599048,0
26,91314,595526,16,0.2735920131204858,0
45,50724,598206,6,0.1407301283933755,0
57,124711,410514,8,0.30015064780799555,1
36,152458,382547,5,0.09467915886357689,0
46,149865,849951,11,0.4836803082763388,0
68,144482,817957,7,0.29811898692984995,1
49,117773,814504,6,0.2536360197012357,0
73,152623,586124,8,0.270982639250682,1
51,147724,978402,10,0.017891919207992164,0
66,107320,595506,9,0.39822539845561555,0
52,140297,772575,12,0.1739523923412646,0
40,103921,322275,15,0.24754588168924563,0
39,136200,554052,15,0.24413509943878228,0
71,81026,568835,5,0.41469868404152305,1
75,83333,586902,15,0.5005871236389361,1
68,151746,334900,8,0.3107288507600451,1
79,148126,740776,9,0.11069501299461908,1
76,139008,805722,14,0.19213350097559428,1
27,122639,451228,15,0.4022099871221087,0
61,48261,370531,5,0.2993533367556771,1
75,117753,446211,8,0.12324201156078429,1
31,133625,699099,13,0.3899994697530722,0
45,103958,480679,10,0.0821594981637116,0
33,98625,573186,5,0.29576308704783427,0
63,163332,385307,9,0.3387219989623767,1
42,118191,995857,14,0.3397773468553845,0
28,133643,614639,11,0.2458577658826552,0
49,143223,829943,11,0.16283381917827613,0
38,89956,698633,12,0.2618567618986723,1
74,125796,591623,18,0.40423585491815145,0
33,159589,581267,8,0.5136080348401842,0
50,174576,454951,11,0.09193927512615577,0
77,121198,509907,10,0.2462116901571181,1
26,112861,398439,5,0.36419208468938197,0
44,128070,376626,16,0.4903649772067166,0
